"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-07-07T15:00:00.000Z","10.54","10.54","10.53","10.53","0.05","-0.10","0"
"2024-07-08T15:00:00.000Z","10.53","10.54","10.53","10.54","0.10","-0.05","0"
"2024-07-09T15:00:00.000Z","10.47","10.47","10.47","10.47","-0.62","-0.76","0"
"2024-07-10T15:00:00.000Z","10.47","10.47","10.47","10.47","0.05","-0.10","0"
"2024-07-11T15:00:00.000Z","10.54","10.54","10.50","10.50","0.24","0.09","0"
"2024-07-14T15:00:00.000Z","10.54","10.54","10.53","10.53","0.29","0.14","0"
"2024-07-15T15:00:00.000Z","10.48","10.51","10.48","10.51","-0.19","-0.34","0"
"2024-07-16T15:00:00.000Z","10.53","10.53","10.53","10.53","0.14","0","0"
"2024-07-17T15:00:00.000Z","10.62","10.62","10.62","10.62","0.86","0.71","0"
"2024-07-18T15:00:00.000Z","10.58","10.58","10.57","10.57","-0.38","-0.52","0"
"2024-07-21T15:00:00.000Z","10.59","10.60","10.59","10.60","0.19","0.04","0"
"2024-07-22T15:00:00.000Z","10.61","10.61","10.60","10.60","0","-0.15","0"
"2024-07-23T15:00:00.000Z","10.62","10.62","10.61","10.61","0.09","-0.05","0"
"2024-07-24T15:00:00.000Z","10.65","10.68","10.65","10.68","0.66","0.51","0"
"2024-07-25T15:00:00.000Z","10.67","10.68","10.67","10.68","0","-0.15","0"
"2024-07-28T15:00:00.000Z","10.65","10.65","10.64","10.64","-0.33","-0.47","0"
"2024-07-29T15:00:00.000Z","10.64","10.64","10.62","10.62","-0.19","-0.34","0"
"2024-07-30T15:00:00.000Z","10.62","10.63","10.62","10.63","0.14","-0.01","0"
"2024-07-31T15:00:00.000Z","10.55","10.59","10.55","10.59","-0.47","-0.62","0"
"2024-08-01T15:00:00.000Z","10.53","10.53","10.48","10.48","-0.99","-1.14","0"
"2024-08-04T15:00:00.000Z","10.46","10.48","10.46","10.48","0.05","-0.10","0"
"2024-08-05T15:00:00.000Z","10.54","10.58","10.54","10.58","0.91","0.76","0"
"2024-08-06T15:00:00.000Z","10.59","10.59","10.59","10.59","0.05","-0.10","0"
"2024-08-07T15:00:00.000Z","10.62","10.62","10.62","10.62","0.33","0.18","0"
"2024-08-08T15:00:00.000Z","10.70","10.70","10.63","10.63","0.14","-0.01","0"
"2024-08-11T15:00:00.000Z","10.60","10.63","10.60","10.63","-0.09","-0.24","0"
"2024-08-12T15:00:00.000Z","10.64","10.64","10.64","10.64","0.19","0.04","0"
"2024-08-13T15:00:00.000Z","10.64","10.65","10.64","10.65","0.05","-0.10","0"
"2024-08-14T15:00:00.000Z","10.70","10.70","10.70","10.70","0.47","0.32","0"
"2024-08-15T15:00:00.000Z","11.06","11.15","11.06","11.15","4.25","4.11","0"
"2024-08-18T15:00:00.000Z","11.15","11.15","11.13","11.13","-0.18","-0.33","0"
"2024-08-19T15:00:00.000Z","11.11","11.11","11.11","11.11","-0.22","-0.37","0"
"2024-08-20T15:00:00.000Z","11.11","11.11","11.05","11.05","-0.50","-0.64","0"
"2024-08-21T15:00:00.000Z","11.11","11.13","11.11","11.13","0.72","0.58","0"
"2024-08-22T15:00:00.000Z","11.10","11.10","11.09","11.09","-0.45","-0.60","0"
"2024-08-25T15:00:00.000Z","11.05","11.08","11.05","11.08","-0.05","-0.19","0"
"2024-08-26T15:00:00.000Z","11.15","11.20","11.15","11.20","1.04","0.89","0"
"2024-08-27T15:00:00.000Z","11.19","11.25","11.19","11.25","0.49","0.34","0"
"2024-08-28T15:00:00.000Z","11.31","11.36","11.31","11.36","0.98","0.83","0"
"2024-08-29T15:00:00.000Z","11.43","11.43","11.38","11.38","0.18","0.03","0"
"2024-09-01T15:00:00.000Z","11.31","11.32","11.31","11.32","-0.48","-0.63","0"
"2024-09-02T15:00:00.000Z","11.40","11.40","11.35","11.35","0.18","0.03","0"
"2024-09-03T15:00:00.000Z","11.31","11.31","11.28","11.28","-0.57","-0.72","0"
"2024-09-04T15:00:00.000Z","11.23","11.24","11.23","11.24","-0.35","-0.50","0"
"2024-09-05T15:00:00.000Z","11.19","11.24","11.19","11.24","0.04","-0.10","0"
"2024-09-08T15:00:00.000Z","11.24","11.26","11.24","11.26","0.13","-0.01","0"
"2024-09-09T15:00:00.000Z","11.24","11.24","11.23","11.23","-0.22","-0.37","0"
"2024-09-10T15:00:00.000Z","11.25","11.26","11.24","11.26","0.22","0.08","0"
"2024-09-11T15:00:00.000Z","11.31","11.31","11.31","11.31","0.44","0.30","0"
"2024-09-12T15:00:00.000Z","11.30","11.30","11.30","11.30","-0.04","-0.19","0"
"2024-09-15T15:00:00.000Z","11.31","11.31","11.31","11.31","0.09","-0.06","0"
"2024-09-16T15:00:00.000Z","11.32","11.32","11.32","11.32","0.09","-0.06","0"
"2024-09-17T15:00:00.000Z","11.29","11.29","11.26","11.26","-0.62","-0.77","0"
"2024-09-18T15:00:00.000Z","11.41","11.41","11.39","11.39","1.20","1.05","0"
"2024-09-19T15:00:00.000Z","11.43","11.45","11.43","11.45","0.53","0.38","0"
"2024-09-22T15:00:00.000Z","11.47","11.49","11.47","11.49","0.35","0.20","0"
"2024-09-23T15:00:00.000Z","11.46","11.46","11.40","11.40","-0.78","-0.93","0"
"2024-09-24T15:00:00.000Z","11.38","11.38","11.38","11.38","-0.18","-0.32","0"
"2024-09-25T15:00:00.000Z","11.39","11.43","11.39","11.43","0.44","0.29","0"
"2024-09-26T15:00:00.000Z","11.46","11.46","11.44","11.44","0.09","-0.06","0"
"2024-09-29T15:00:00.000Z","11.46","11.50","11.46","11.50","0.52","0.38","0"
"2024-09-30T15:00:00.000Z","11.48","11.48","11.48","11.48","-0.17","-0.32","0"
"2024-10-01T15:00:00.000Z","11.47","11.47","11.45","11.47","-0.09","-0.23","0"
"2024-10-02T15:00:00.000Z","11.47","11.48","11.47","11.48","0.13","-0.02","0"
"2024-10-03T15:00:00.000Z","11.52","11.55","11.49","11.55","0.61","0.46","0"
"2024-10-06T15:00:00.000Z","11.59","11.59","11.57","11.57","0.17","0.03","0"
"2024-10-07T15:00:00.000Z","11.58","11.58","11.57","11.57","-0.04","-0.19","0"
"2024-10-08T15:00:00.000Z","11.57","11.63","11.57","11.63","0.52","0.37","0"
"2024-10-09T15:00:00.000Z","11.62","11.65","11.62","11.65","0.17","0.02","0"
"2024-10-10T15:00:00.000Z","11.66","11.70","11.66","11.70","0.39","0.24","0"
"2024-10-13T15:00:00.000Z","11.70","11.70","11.64","11.64","-0.43","-0.57","0"
"2024-10-14T15:00:00.000Z","11.66","11.66","11.66","11.66","0.13","-0.02","0"
"2024-10-15T15:00:00.000Z","11.72","11.72","11.66","11.66","0.04","-0.10","0"
"2024-10-16T15:00:00.000Z","11.71","11.71","11.71","11.71","0.39","0.24","0"
"2024-10-17T15:00:00.000Z","11.71","11.72","11.71","11.72","0.09","-0.06","0"
"2024-10-20T15:00:00.000Z","11.71","11.71","11.70","11.70","-0.17","-0.32","0"
"2024-10-21T15:00:00.000Z","11.71","11.71","11.70","11.70","-0.04","-0.19","0"
"2024-10-22T15:00:00.000Z","11.71","11.73","11.71","11.73","0.34","0.19","0"
"2024-10-23T15:00:00.000Z","11.71","11.71","11.69","11.69","-0.43","-0.57","0"
"2024-10-24T15:00:00.000Z","11.72","11.72","11.72","11.72","0.30","0.15","0"
"2024-10-27T15:00:00.000Z","11.73","11.75","11.73","11.75","0.26","0.11","0"
"2024-10-28T15:00:00.000Z","11.74","11.76","11.74","11.76","0.09","-0.06","0"
"2024-10-29T15:00:00.000Z","11.77","11.77","11.77","11.77","0.09","-0.06","0"
"2024-10-30T15:00:00.000Z","11.76","11.78","11.76","11.78","0.04","-0.10","0"
"2024-10-31T15:00:00.000Z","11.81","11.88","11.81","11.88","0.93","0.79","0"
"2024-11-03T15:00:00.000Z","11.88","11.88","11.88","11.88","0","-0.15","0"
"2024-11-04T15:00:00.000Z","11.90","11.90","11.87","11.87","-0.13","-0.27","0"
"2024-11-05T15:00:00.000Z","11.93","11.93","11.87","11.87","0","-0.15","0"
"2024-11-06T15:00:00.000Z","11.93","11.96","11.93","11.96","0.72","0.57","0"
"2024-11-07T15:00:00.000Z","11.98","11.98","11.98","11.98","0.21","0.06","0"
"2024-11-10T15:00:00.000Z","11.99","11.99","11.98","11.98","0.04","-0.11","0"
"2024-11-11T15:00:00.000Z","11.93","11.97","11.93","11.97","-0.13","-0.27","0"
"2024-11-13T15:00:00.000Z","11.96","12.01","11.95","11.97","0.04","-0.11","0"
"2024-11-17T15:00:00.000Z","12.54","12.54","12.54","12.54","4.76","4.61","0"
"2024-11-18T15:00:00.000Z","12.61","12.61","12.54","12.55","0.08","-0.07","0"
"2024-11-20T15:00:00.000Z","12.55","12.55","12.54","12.54","-0.16","-0.31","0"
"2024-11-21T15:00:00.000Z","12.59","12.62","12.53","12.57","0.30","0.16","0"
"2024-11-24T15:00:00.000Z","12.61","12.62","12.60","12.60","0.21","0.07","0"
"2024-11-25T15:00:00.000Z","12.63","12.63","12.63","12.63","0.28","0.13","0"
"2024-11-26T15:00:00.000Z","12.61","12.62","12.61","12.62","-0.12","-0.27","0"
"2024-11-27T15:00:00.000Z","12.89","13.01","12.89","12.99","2.97","2.82","0"
"2024-11-28T15:00:00.000Z","13.27","13.27","13.14","13.14","1.12","0.97","0"
"2024-12-01T15:00:00.000Z","13.01","13.02","13.01","13.02","-0.95","-1.10","0"
"2024-12-02T15:00:00.000Z","13.09","13.09","13.09","13.09","0.54","0.39","0"
"2024-12-03T15:00:00.000Z","13.15","13.19","13.15","13.18","0.69","0.54","0"
"2024-12-04T15:00:00.000Z","13.16","13.20","13.16","13.20","0.15","0","0"
"2024-12-05T15:00:00.000Z","13.19","13.33","13.19","13.33","1.02","0.88","0"
"2024-12-08T15:00:00.000Z","13.34","13.34","13.32","13.32","-0.08","-0.22","0"
"2024-12-09T15:00:00.000Z","13.32","13.45","13.32","13.39","0.56","0.42","0"
"2024-12-10T15:00:00.000Z","13.40","13.40","13.37","13.40","0.07","-0.07","0"
"2024-12-11T15:00:00.000Z","13.57","13.57","13.57","13.57","1.23","1.08","0"
"2024-12-12T15:00:00.000Z","13.79","13.80","13.35","13.77","1.44","1.29","0"
"2024-12-15T15:00:00.000Z","13.92","13.92","13.92","13.92","1.13","0.98","0"
"2024-12-16T15:00:00.000Z","13.93","13.94","13.91","13.94","0.14","0","0"
"2024-12-17T15:00:00.000Z","14.04","14.15","13.86","14.11","1.22","1.07","0"
"2024-12-18T15:00:00.000Z","14.50","14.50","14.08","14.08","-0.20","-0.35","0"
"2024-12-19T15:00:00.000Z","14.25","14.33","14.05","14.08","-0.01","-0.16","0"
"2024-12-22T15:00:00.000Z","14.05","14.07","14.01","14.01","-0.50","-0.64","0"
"2024-12-25T15:00:00.000Z","14.22","14.29","14.17","14.21","1.43","1.28","0"
"2024-12-26T15:00:00.000Z","14.17","14.29","14.17","14.18","-0.25","-0.39","0"
"2024-12-29T15:00:00.000Z","14.20","14.21","14.20","14.20","0.18","0.03","0"
"2025-01-01T15:00:00.000Z","14.13","14.13","14.04","14.10","-0.70","-0.85","0"
"2025-01-02T15:00:00.000Z","14.03","14.06","13.99","14.02","-0.57","-0.71","0"
"2025-01-05T15:00:00.000Z","13.96","13.96","13.96","13.96","-0.43","-0.58","0"
"2025-01-06T15:00:00.000Z","13.97","14.04","13.96","13.96","0.04","-0.11","0"
"2025-01-07T15:00:00.000Z","14.00","14.04","13.98","13.98","0.14","0","0"
"2025-01-08T15:00:00.000Z","13.95","14.01","13.93","13.93","-0.37","-0.52","0"
"2025-01-09T15:00:00.000Z","13.98","13.98","13.98","13.98","0.37","0.23","0"
"2025-01-12T15:00:00.000Z","14.02","14.02","13.97","14.01","0.14","0","0"
"2025-01-13T15:00:00.000Z","13.96","13.98","13.95","13.97","-0.21","-0.36","0"
"2025-01-14T15:00:00.000Z","13.96","13.98","13.94","13.94","-0.29","-0.43","0"
"2025-01-15T15:00:00.000Z","13.97","13.98","13.94","13.98","0.32","0.18","0"
"2025-01-16T15:00:00.000Z","13.97","13.98","13.94","13.96","-0.13","-0.28","0"
"2025-01-19T15:00:00.000Z","13.99","14.04","13.98","14.00","0.27","0.13","0"
"2025-01-20T15:00:00.000Z","14.02","14.02","13.98","14.01","0.04","-0.11","0"
"2025-01-21T15:00:00.000Z","14.00","14.00","13.96","13.96","-0.29","-0.43","0"
"2025-01-22T15:00:00.000Z","13.99","14.02","13.99","14.01","0.32","0.18","0"
"2025-01-23T15:00:00.000Z","14.07","14.07","14.05","14.05","0.32","0.17","0"
"2025-01-26T15:00:00.000Z","14.06","14.09","14.06","14.09","0.28","0.13","0"
"2025-01-27T15:00:00.000Z","14.10","14.13","14.07","14.07","-0.17","-0.32","0"
"2025-01-28T15:00:00.000Z","14.12","14.13","14.11","14.13","0.39","0.24","0"
"2025-01-29T15:00:00.000Z","14.05","14.05","14.04","14.04","-0.60","-0.75","0"
"2025-01-30T15:00:00.000Z","14.06","14.07","14.05","14.06","0.18","0.03","0"
"2025-02-02T15:00:00.000Z","14.07","14.09","14.07","14.07","0.07","-0.08","0"
"2025-02-03T15:00:00.000Z","14.10","14.11","14.10","14.10","0.14","0","0"
"2025-02-04T15:00:00.000Z","14.12","14.13","14.10","14.11","0.09","-0.05","0"
"2025-02-05T15:00:00.000Z","14.13","14.13","14.10","14.12","0.05","-0.10","0"
"2025-02-06T15:00:00.000Z","14.13","14.15","14.10","14.13","0.11","-0.04","0"
"2025-02-09T15:00:00.000Z","14.12","14.15","14.11","14.14","0.04","-0.10","0"
"2025-02-10T15:00:00.000Z","14.14","14.15","14.13","14.13","-0.04","-0.19","0"
"2025-02-11T15:00:00.000Z","14.12","14.15","14.12","14.12","-0.11","-0.25","0"
"2025-02-12T15:00:00.000Z","14.12","14.13","14.12","14.12","0.06","-0.09","0"
"2025-02-13T15:00:00.000Z","14.13","14.13","14.12","14.12","-0.02","-0.17","0"
"2025-02-16T15:00:00.000Z","14.12","14.13","14.11","14.11","-0.11","-0.25","0"
"2025-02-17T15:00:00.000Z","14.11","14.12","14.10","14.11","0","-0.15","0"
"2025-02-18T15:00:00.000Z","14.11","14.12","14.10","14.12","0.11","-0.04","0"
"2025-02-19T15:00:00.000Z","14.14","14.15","14.12","14.15","0.21","0.07","0"
"2025-02-20T15:00:00.000Z","14.15","14.15","14.09","14.11","-0.28","-0.43","0"
"2025-02-23T15:00:00.000Z","14.13","14.15","14.09","14.12","0.04","-0.11","0"
"2025-02-24T15:00:00.000Z","14.14","14.14","14.12","14.14","0.21","0.06","0"
"2025-02-25T15:00:00.000Z","14.15","14.21","14.15","14.20","0.40","0.25","0"
"2025-02-26T15:00:00.000Z","14.19","14.24","14.15","14.23","0.25","0.10","0"
"2025-02-27T15:00:00.000Z","14.24","14.29","14.24","14.27","0.25","0.10","0"
"2025-03-04T15:00:00.000Z","14.23","14.29","14.23","14.24","-0.18","-0.32","0"
"2025-03-05T15:00:00.000Z","14.24","14.27","14.22","14.22","-0.18","-0.32","0"
"2025-03-06T15:00:00.000Z","14.23","14.26","14.21","14.21","-0.04","-0.18","0"
"2025-03-09T15:00:00.000Z","14.23","14.26","14.21","14.22","0.04","-0.11","0"
"2025-03-10T15:00:00.000Z","14.21","14.25","14.20","14.21","-0.05","-0.20","0"
"2025-03-11T15:00:00.000Z","14.21","14.21","14.17","14.19","-0.18","-0.33","0"
"2025-03-12T15:00:00.000Z","14.19","14.22","14.17","14.22","0.23","0.09","0"
"2025-03-13T15:00:00.000Z","14.18","14.23","14.18","14.19","-0.23","-0.38","0"
"2025-03-16T15:00:00.000Z","14.22","14.24","14.19","14.19","0.02","-0.13","0"
"2025-03-17T15:00:00.000Z","14.22","14.24","14.19","14.23","0.28","0.13","0"
"2025-03-18T15:00:00.000Z","14.26","14.27","14.20","14.24","0.11","-0.04","0"
"2025-03-19T15:00:00.000Z","14.24","14.38","14.23","14.35","0.70","0.55","0"
"2025-03-20T15:00:00.000Z","14.35","14.38","14.24","14.34","-0.01","-0.16","0"
"2025-03-23T15:00:00.000Z","14.40","14.45","14.37","14.39","0.36","0.22","0"
"2025-03-24T15:00:00.000Z","14.37","14.44","14.37","14.37","-0.16","-0.31","0"
"2025-03-25T15:00:00.000Z","14.38","14.45","14.38","14.41","0.26","0.12","0"
"2025-03-26T15:00:00.000Z","14.38","14.45","14.38","14.38","-0.21","-0.36","0"
"2025-03-27T15:00:00.000Z","14.81","14.91","14.77","14.80","2.96","2.81","0"
"2025-03-30T15:00:00.000Z","14.82","14.91","14.73","14.73","-0.51","-0.65","0"
"2025-03-31T15:00:00.000Z","14.70","14.76","14.70","14.70","-0.20","-0.35","0"
"2025-04-01T15:00:00.000Z","14.79","14.81","14.71","14.72","0.14","-0.01","0"
"2025-04-02T15:00:00.000Z","14.57","14.74","14.57","14.65","-0.44","-0.59","0"
"2025-04-03T15:00:00.000Z","14.59","14.64","14.53","14.58","-0.51","-0.66","0"
"2025-04-06T15:00:00.000Z","14.57","14.59","14.51","14.57","-0.03","-0.18","0"
"2025-04-07T15:00:00.000Z","14.58","14.61","14.51","14.61","0.21","0.06","0"
"2025-04-08T15:00:00.000Z","14.61","14.66","14.58","14.60","-0.02","-0.17","0"
"2025-04-09T15:00:00.000Z","14.64","14.66","14.62","14.62","0.12","-0.02","0"
"2025-04-10T15:00:00.000Z","14.61","14.68","14.61","14.62","-0.03","-0.18","0"
